RG_SOL	1990	1	1	00	01	10.95
RG_SOL	1990	1	1	00	02	10.95
RG_SOL	1990	1	1	00	03	10.95
RG_SOL	1990	1	1	00	04	10.95
RG_SOL	1990	1	1	00	05	10.95
RG_SOL	1990	1	1	00	06	16.72
RG_SOL	1990	1	1	00	07	16.72
RG_SOL	1990	1	1	00	08	16.72
RG_SOL	1990	1	1	00	09	16.72
RG_SOL	1990	1	1	00	10	16.72
RG_SOL	1990	1	1	00	11	109.73
RG_SOL	1990	1	1	00	12	109.73
RG_SOL	1990	1	1	00	13	109.73
RG_SOL	1990	1	1	00	14	109.73
RG_SOL	1990	1	1	00	15	109.73
RG_SOL	1990	1	1	00	16	24.40
RG_SOL	1990	1	1	00	17	24.40
RG_SOL	1990	1	1	00	18	24.40
RG_SOL	1990	1	1	00	19	24.40
RG_SOL	1990	1	1	00	20	24.40
RG_SOL	1990	1	1	00	21	13.11
RG_SOL	1990	1	1	00	22	13.11
RG_SOL	1990	1	1	00	23	13.11
RG_SOL	1990	1	1	00	24	13.11
RG_SOL	1990	1	1	00	25	13.11
RG_SOL	1990	1	1	00	26	9.49
RG_SOL	1990	1	1	00	27	9.49
RG_SOL	1990	1	1	00	28	9.49
RG_SOL	1990	1	1	00	29	9.49
RG_SOL	1990	1	1	00	30	9.49

